blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXD,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,preCueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
4,19,2,-1,5,1.16,2,0.05,2.100,2.22,2.32,19,1,{'TPHVBN'},B,b,19,1,1,1,0,0,0,1,-1.74,-0.5,0.081575246
4,20,2,-1,6,1.74,2,0.05,2.100,2.22,2.32,20,1,{'XPFTLV'},V,v,20,1,1,1,0,0,0,2,-1.16,-0.5,0.122362869
4,21,2,1,3,-0.58,2,0,2.050,2.17,2.27,21,1,{'VTXLNY'},X,x,21,1,1,1,0,0,0,3,-0.58,-0.5,-0.040787623
4,22,2,-1,3,-0.58,2,0,2.050,2.17,2.27,22,2,{'ZTPHFX'},P,p,22,0,0,0,1,1,1,4,0.58,-0.5,-0.040787623
4,23,2,0,6,1.74,2,0,2.050,2.17,2.27,23,7,{'YKVFXN'},N,n,23,1,1,1,1,1,1,5,1.16,-0.5,0.122362869
4,24,2,0,1,-1.74,2,0,2.050,2.17,2.27,24,7,{'PTHFYX'},P,p,24,1,1,1,1,1,1,6,1.74,-0.5,-0.122362869
4,25,2,-1,3,-0.58,2,0.05,2.100,2.22,2.32,25,2,{'TZYLBX'},Y,y,25,0,0,0,1,1,1,,,,-0.040787623
4,26,2,1,1,-1.74,2,0.05,2.100,2.22,2.32,26,1,{'HLZTXV'},H,h,26,1,1,1,0,0,0,,deg to norm,,-0.122362869
4,27,2,-1,4,0.58,2,0,2.050,2.17,2.27,27,1,{'PBYKLZ'},K,k,27,1,1,1,0,0,0,,14.22,,0.040787623
4,28,2,0,2,-1.16,2,0.05,2.100,2.22,2.32,28,7,{'VXNTBZ'},X,x,28,1,1,1,1,1,1,,,,-0.081575246
4,29,2,0,5,1.16,2,0,2.050,2.17,2.27,29,7,{'PNTXKZ'},K,k,29,1,1,1,1,1,1,,,,0.081575246
4,30,2,0,4,0.58,2,0.05,2.100,2.22,2.32,30,7,{'KNYTZV'},T,t,30,1,1,1,1,1,1,,,,0.040787623
4,31,2,1,1,-1.74,2,0,2.050,2.17,2.27,31,1,{'PFBHZN'},P,p,31,1,1,1,0,0,0,,,,-0.122362869
4,32,2,1,5,1.16,2,0,2.050,2.17,2.27,32,2,{'PYNHTX'},T,t,32,0,0,0,1,1,1,,,,0.081575246
4,33,2,0,2,-1.16,2,0,2.050,2.17,2.27,33,7,{'ZVLPNK'},V,v,33,1,1,1,1,1,1,,,,-0.081575246
4,34,2,1,6,1.74,2,0,2.050,2.17,2.27,34,2,{'LBYZKF'},F,f,34,0,0,0,1,1,1,,,,0.122362869
4,35,2,0,6,1.74,2,0.05,2.100,2.22,2.32,35,7,{'BTVHZP'},P,p,35,1,1,1,1,1,1,,,,0.122362869
4,36,2,-1,2,-1.16,2,0.05,2.100,2.22,2.32,36,2,{'KXVPBN'},X,x,36,0,0,0,1,1,1,,,,-0.081575246
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
