blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXD,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,preCueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
1,7,2,1,5,1.16,2,0.05,2.100,2.22,2.32,7,2,{' .    '},.,.,7,0,0,0,1,1,1,1,-1.74,-0.5,0.081575246
1,8,2,1,3,-0.58,2,0,2.050,2.17,2.27,8,1,{' .    '},.,.,8,1,1,1,0,0,0,2,-1.16,-0.5,-0.040787623
1,9,2,0,1,-1.74,2,0,2.050,2.17,2.27,9,7,{'    . '},.,.,9,1,1,1,1,1,1,3,-0.58,-0.5,-0.122362869
1,10,2,-1,4,0.58,2,0,2.050,2.17,2.27,10,2,{' .    '},.,.,10,1,1,1,0,0,0,4,0.58,-0.5,0.040787623
1,11,2,0,6,1.74,2,0.05,2.100,2.22,2.32,11,1,{'    . '},.,.,11,1,1,1,1,1,1,5,1.16,-0.5,0.122362869
1,12,2,-1,1,-1.74,2,0.05,2.100,2.22,2.32,12,7,{' .    '},.,.,12,0,0,0,1,1,1,6,1.74,-0.5,-0.122362869
1,7,2,1,5,1.16,2,0,2.050,2.17,2.27,7,2,{'    . '},.,.,7,0,0,0,1,1,1,1,-1.74,-0.5,0.081575246
1,8,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,8,1,{'    . '},.,.,8,1,1,1,0,0,0,2,-1.16,-0.5,-0.081575246
1,9,2,0,1,-1.74,2,0,2.050,2.17,2.27,9,7,{' .    '},.,.,9,1,1,1,1,1,1,3,-0.58,-0.5,-0.122362869
1,10,2,-1,3,-0.58,2,0,2.050,2.17,2.27,10,1,{'    . '},.,.,10,0,0,0,1,1,1,4,0.58,-0.5,-0.040787623
1,11,2,0,6,1.74,2,0.05,2.100,2.22,2.32,11,2,{' .    '},.,.,11,1,1,1,1,1,1,5,1.16,-0.5,0.122362869
1,12,2,-1,1,-1.74,2,0.05,2.100,2.22,2.32,12,7,{' .    '},.,.,12,0,0,0,1,1,1,6,1.74,-0.5,-0.122362869
1,7,2,1,5,1.16,2,0.05,2.100,2.22,2.32,7,2,{'    . '},.,.,7,0,0,0,1,1,1,1,-1.74,-0.5,0.081575246
1,8,2,1,3,-0.58,2,0.05,2.100,2.22,2.32,8,1,{'    . '},.,.,8,1,1,1,0,0,0,2,-1.16,-0.5,-0.040787623
1,9,2,0,2,-1.16,2,0,2.050,2.17,2.27,9,7,{' .    '},.,.,9,1,1,1,1,1,1,3,-0.58,-0.5,-0.081575246
1,10,2,-1,3,-0.58,2,0,2.050,2.17,2.27,10,1,{'    . '},.,.,10,0,0,0,1,1,1,4,0.58,-0.5,-0.040787623
1,11,2,0,6,1.74,2,0.05,2.100,2.22,2.32,11,2,{' .    '},.,.,11,1,1,1,1,1,1,5,1.16,-0.5,0.122362869
1,12,2,-1,1,-1.74,2,0,2.050,2.17,2.27,12,7,{'    . '},.,.,12,0,0,0,1,1,1,6,1.74,-0.5,-0.122362869
