blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,TargetDur,TargetOnset,pstMaskOnset,RespOnset,trialNum,string,CxResp,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
1,1,0.00,0.00,3,0.93,1,0.24,0.600,0.84,0.94,1,{'FGPK'},P,1,1,1,1,1,1,,,-0.5,0.065260197
1,5,0.00,0.00,4,1.86,1,0.24,0.600,0.84,0.94,5,{'GKHP'},P,1,1,1,1,1,1,1,-1.8560,-0.5,0.130520394
1,6,0.00,0.00,3,0.93,1,0.24,0.600,0.84,0.94,6,{'PKFG'},F,1,1,1,1,1,1,2,-0.9280,-0.5,0.065260197
1,2,0.00,0.00,4,1.86,1,0.24,0.600,0.84,0.94,2,{'KPDG'},G,1,1,1,1,1,1,3,0.9280,-0.5,0.130520394
1,3,0.00,0.00,1,-1.86,1,0.24,0.600,0.84,0.94,3,{'FPKD'},F,1,1,1,1,1,1,4,1.8560,-0.5,-0.130520394
1,4,0.00,0.00,1,-1.86,1,0.24,0.600,0.84,0.94,4,{'DGHK'},D,1,1,1,1,1,1,,,-0.5,-0.130520394
1,7,0.00,0.00,3,0.93,1,0.24,0.600,0.84,0.94,7,{'DFGP'},G,1,1,1,1,1,1,,deg to norm,,0.065260197
1,8,0.00,0.00,2,-0.93,1,0.24,0.600,0.84,0.94,8,{'DKHG'},K,1,1,1,1,1,1,,14.2200,,-0.065260197
1,9,0.00,0.00,3,0.93,1,0.24,0.600,0.84,0.94,9,{'FKPH'},P,1,1,1,1,1,1,,,,0.065260197
1,10,0.00,0.00,4,1.86,1,0.24,0.600,0.84,0.94,10,{'PFKD'},D,1,1,1,1,1,1,,,,0.130520394
1,11,0.00,0.00,1,-1.86,1,0.24,0.600,0.84,0.94,11,{'HDPF'},H,1,1,1,1,1,1,,,,-0.130520394
1,12,0.00,0.00,2,-0.93,1,0.24,0.600,0.84,0.94,12,{'KDHG'},D,1,1,1,1,1,1,,,,-0.065260197
