blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXD,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,preCueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
5,1,2,-1,4,0.58,2,0,2.050,2.17,2.27,1,1,{'FTVKXN'},K,k,1,1,1,1,0,0,0,1,-1.74,-0.5,0.040787623
5,2,2,0,4,0.58,2,0.05,2.100,2.22,2.32,2,7,{'LTYXPF'},X,x,2,1,1,1,1,1,1,2,-1.16,-0.5,0.040787623
5,3,2,-1,5,1.16,2,0,2.050,2.17,2.27,3,1,{'VPTZBX'},B,b,3,1,1,1,0,0,0,3,-0.58,-0.5,0.081575246
5,4,2,0,3,-0.58,2,0,2.050,2.17,2.27,4,7,{'ZLNTPY'},N,n,4,1,1,1,1,1,1,4,0.58,-0.5,-0.040787623
5,5,2,-1,3,-0.58,2,0,2.050,2.17,2.27,5,2,{'YFVKHX'},V,v,5,0,0,0,1,1,1,5,1.16,-0.5,-0.040787623
5,6,2,0,6,1.74,2,0.05,2.100,2.22,2.32,6,7,{'NYTVXL'},L,l,6,1,1,1,1,1,1,6,1.74,-0.5,0.122362869
5,7,2,1,5,1.16,2,0,2.050,2.17,2.27,7,2,{'HXTFVL'},V,v,7,0,0,0,1,1,1,,,,0.081575246
5,8,2,1,3,-0.58,2,0,2.050,2.17,2.27,8,1,{'KFZYTL'},Z,z,8,1,1,1,0,0,0,,,,-0.040787623
5,9,2,0,1,-1.74,2,0.05,2.100,2.22,2.32,9,7,{'LPVBHF'},L,l,9,1,1,1,1,1,1,,,,-0.122362869
5,10,2,-1,3,-0.58,2,0.05,2.100,2.22,2.32,10,2,{'YBFLKH'},F,f,10,0,0,0,1,1,1,,,,-0.040787623
5,11,2,0,6,1.74,2,0,2.050,2.17,2.27,11,7,{'VFXTNY'},Y,y,11,1,1,1,1,1,1,,,,0.122362869
5,12,2,-1,1,-1.74,2,0,2.050,2.17,2.27,12,2,{'NVBYFX'},N,n,12,0,0,0,1,1,1,,,,-0.122362869
5,13,2,1,4,0.58,2,0,2.050,2.17,2.27,13,2,{'FLYZNP'},Z,z,13,0,0,0,1,1,1,,,,0.040787623
