blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXD,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,precueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
2,1,2,-1,4,0.58,2,0,2.05,2.17,2.27,1,1,{'FBLYVP'},Y,y,1,1,1,1,0,0,0,1,-1.74,-0.5,0.040787623
2,2,2,0,4,0.58,2,0.05,2.10,2.22,2.32,2,7,{'KFHBPL'},B,b,2,1,1,1,1,1,1,2,-1.16,-0.5,0.040787623
2,3,2,-1,3,-0.58,2,0,2.05,2.17,2.27,3,2,{'KFBVTZ'},B,b,3,0,0,0,1,1,1,3,-0.58,-0.5,-0.040787623
2,4,2,0,3,-0.58,2,0,2.05,2.17,2.27,4,7,{'LFPKBX'},P,p,4,1,1,1,1,1,1,4,0.58,-0.5,-0.040787623
2,5,2,0,4,0.58,2,0,2.05,2.17,2.27,5,7,{'KTPLZN'},L,l,5,1,1,1,1,1,1,5,1.16,-0.5,0.040787623
2,6,2,-1,1,-1.74,2,0,2.05,2.17,2.27,6,2,{'NVLFYX'},N,n,6,0,0,0,1,1,1,6,1.74,-0.5,-0.122362869
2,7,2,1,4,0.58,2,0,2.05,2.17,2.27,7,2,{'TFVXLP'},X,x,7,0,0,0,1,1,1,,,,0.040787623
2,8,2,1,6,1.74,2,0.05,2.10,2.22,2.32,8,2,{'ZKLNYV'},V,v,8,0,0,0,1,1,1,,deg to norm,,0.122362869
2,9,2,-1,2,-1.16,2,0,2.05,2.17,2.27,9,2,{'VFLYKN'},F,f,9,0,0,0,1,1,1,,14.22,,-0.081575246
2,10,2,-1,3,-0.58,2,0.05,2.10,2.22,2.32,10,2,{'KYFLBP'},F,f,10,0,0,0,1,1,1,,,,-0.040787623
2,11,2,1,1,-1.74,2,0.05,2.10,2.22,2.32,11,1,{'YBZXTF'},Y,y,11,1,1,1,0,0,0,,,,-0.122362869
2,12,2,1,2,-1.16,2,0.05,2.10,2.22,2.32,12,1,{'PXZKVF'},X,x,12,1,1,1,0,0,0,,,,-0.081575246
2,13,2,-1,6,1.74,2,0,2.05,2.17,2.27,13,1,{'LBHKFP'},P,p,13,1,1,1,0,0,0,,,,0.122362869
